DOI,AuthorID
httpsdoiorg101109JIOT20243462412,113
httpsdoiorg101109JIOT20243415612,113
httpsdoiorg101109JIOT20243462412,113
httpsdoiorg101109JIOT20243462412,113
httpsdoiorg101109TBDATA20243407594,113
httpsdoiorg101109TVLSI20243472270,113
httpsdoiorg101109ACCESS20202980886,113
httpsdoiorg101109TAI20243410932,113
httpsdoiorg101109JBHI20243487012,177
httpsdlacmorgtocimwut202484,869
httpsdlacmorgdoiproceedings1055553694718,1041
httpsdoiorg101016jdcan202411018,1223
httpsdoiorg101016jdcan202411018,1223
httpsdoiorg101109TNNLS20243367782,1379
httpsdoiorg101109TIM20243472770,1379
httpsdoiorg101109TDSC20243446392,1437
httpsdoiorg101109TNNLS20243443088,1437
httpsdoiorg101109TDSC20243411820,1437
httpsdoiorg101109TDSC20243472461,1437
httpsdoiorg101109TDSC20243418617,1437
httpsdoiorg101109TDSC20243418617,1437
httpsdlacmorgdoiproceedings1011452818567,1725
httpsdoiorg101016jjss2023111906,1835
httpsdoiorg101109JIOT20243478754,1947
httpsdoiorg101109JIOT20243478754,1947
httpsdoiorg101109TCE20243471921,2085
httpsdoiorg101109TCE20243471921,2085
httpsdoiorg101109TCE20243471921,2085
httpsdoiorg101109TNSM20243473016,2085
httpsdoiorg101109TCE20243471921,2085
httpsdoiorg101109TNSM20243473016,2085
httpsdoiorg101109JSEN20243497797,2443
httpsdoiorg101016jrico2024100391,2562
httpsdoiorg101016jiot2023100785,2607
httpsdoiorg101016jjestch2023101585,2671
httpsdoiorg101109TDSC20243446392,169
httpsdoiorg101109TDSC20243411820,169
httpsdoiorg101016jese2024100479,169
httpsdoiorg101016jese2024100479,169
httpsdoiorg101109TDSC20243472461,169
httpsdoiorg101109TDSC20243418617,169
httpsdoiorg101109TDSC20243418617,169
httpsdoiorg101016jjpi2024100380,477
httpsdoiorg101016jjpi2024100380,477
httpsdoiorg101016jjss2024112093,544
httpsdoiorg101016jjss2024112093,544
httpsdoiorg101016jartmed2024102933,549
httpsdoiorg101109TBDATA20243505052,1062
httpsdoiorg101109TBDATA20243505052,1062
httpsdoiorg101109TBDATA20243505052,1062
httpsdoiorg101109OJCOMS20243492914,1264
httpsdoiorg101109JIOT20243486994,1264
httpsdoiorg101109TCCN20243499362,1264
httpsdoiorg101109TBDATA20243403388,1264
httpsdoiorg101109JIOT20243486994,1264
httpsdoiorg101109OJCOMS20243492914,1264
httpsdoiorg101109TBDATA20243403388,1264
httpsdoiorg101109JIOT20243468431,1264
httpsdoiorg101109TSC20243453709,1264
httpsdoiorg101109TDSC20243429503,1264
httpsdoiorg101016jjoitmc2024100396,1329
httpsdoiorg101109TCE20243507158,2327
httpsdoiorg101109TCE20243507158,2330
httpsdlacmorgdoiproceedings1011453510457,2521
httpsdoiorg101109TVT20243393940,2521
httpsdoiorg101016jaej202407068,2521
httpsdoiorg101016jaej202407068,2521
httpsdoiorg101109TII20243495787,7
httpsdoiorg101109TIV20243364714,12
httpsdoiorg101109TIV20243364714,12
httpsdoiorg101109TNNLS20243498460,365
httpsdoiorg101016jjpi2024100380,471
httpsdoiorg101016jartmed2023102658,728
httpsdoiorg101109TBDATA20243436636,925
httpsdlacmorgtoctds202123,925
httpsdoiorg101109TBDATA20243403382,925
httpsdoiorg101109TCOMM20243492071,1526
httpsdoiorg101016jicte202410009,1613
httpsdoiorg101016jinffus2023102189,1827
httpsdoiorg101016jjss2023111906,1827
httpsdoiorg101109TVT20243454771,2324
httpsdoiorg101016jtechsoc2024102675,2451
httpsdoiorg101109JIOT20243479088,195
httpsdoiorg101016jjpi2024100380,466
httpsdoiorg101016jjpi2024100380,466
httpsdoiorg101016jins2024120856,486
httpsdoiorg101016jyebeh2024110193,600
httpsdoiorg101016jebiom2023104498,643
httpsdoiorg101109JIOT20243479285,741
httpsdoiorg101109TMI20243446450,1242
httpsdoiorg101109TIE20243454424,1591
httpsdoiorg101016jjksuci2024102075,1591
httpsdoiorg101016jjksuci2024102075,1591
httpsdoiorg101109TNNLS20243419787,1592
httpsdoiorg101016jjksuci2024102075,1592
httpsdoiorg101109TNNLS20223154443,1592
httpsdoiorg101016jjksuci2024102075,1592
httpsdoiorg101109TCSII20243474700,1843
httpsdoiorg101109JIOT20243468431,1882
httpsdoiorg101109TITS20243488184,1977
httpsdoiorg101109TITS20243488184,1977
httpsdoiorg101109JIOT20243459098,2150
httpsdoiorg101109TMC20243475481,2198
httpsdoiorg101109TPWRS20243404472,2198
httpsdoiorg101109JIOT20243485874,2198
httpsdoiorg101109TAI20243497913,2198
httpsdoiorg101109TMC20243467339,2198
httpsdoiorg101109TAI20243427069,2385
httpsdoiorg101109TNNLS20243425060,2385
httpsdoiorg101109JIOT20243484396,2385
httpsdoiorg101109TBDATA20243394700,2551
httpsdoiorg101109TBDATA20243394700,2551
httpsdoiorg101109TBDATA20243394700,2551
httpsdoiorg101016jaej202409030,2551
httpsdlacmorgdoiproceedings1011453108421,2584
httpsdoiorg101109JIOT20243465609,2673
httpsdoiorg101109TCE20243472707,2673
httpsdoiorg101109JIOT20243465609,2673
httpsdoiorg101016jjksuci2023101566,2673
httpsdoiorg101109COMST20243417336,336
httpsdoiorg101109TCAD20243471913,356
httpsdoiorg101109TMRB20243488840,390
httpsdoiorg101016jpdpdt2024104331,510
httpsdoiorg101109JIOT20243493419,748
httpsdoiorg101109TSC20243455104,748
httpsdoiorg101109TII20243468446,951
httpsdoiorg101109TCSVT20243474698,951
httpsdoiorg101109TBDATA20243387276,1111
httpsdoiorg101109TBDATA20243423694,1111
httpsdoiorg101109TBDATA20243423650,1111
httpsdoiorg101109TPAMI20243487361,1111
httpsdoiorg101109TPAMI20243487361,1111
httpsdoiorg101109TNNLS20223154443,1111
httpsdoiorg101109TCSS20243454056,1111
httpsdoiorg101109TNNLS20213093419,1111
httpsdoiorg101109LWC20243487307,1186
httpsdlacmorgdoiproceedings1011453584816,1439
httpsdoiorg101016jjksuci2024101957,1680
httpsdlacmorgdoiproceedings1011453576915,1850
httpsdoiorg101109TCE20243474744,1917
httpsdoiorg101109TSUSC20243399754,1917
httpsdoiorg101109TCE20243474744,1917
httpsdoiorg101109JIOT20243461775,40
httpsdoiorg101109JIOT20243461775,40
httpsdoiorg101109TASE20243454176,188
httpsdoiorg101109OJCOMS20243457023,246
httpsdoiorg101109TSC20243505785,246
httpsdoiorg101109TSC20243505785,246
httpsdoiorg101016jejrad2024111581,511
httpsdoiorg101016jyebeh2024110193,594
httpsdoiorg101016jyebeh2024110193,594
httpsdoiorg101016jimu2024101553,627
httpsdlacmorgdoiproceedings1011453666015,848
httpsdoiorg101109MDAT20243490405,963
httpsdlacmorgdoiproceedings1011453581961,1011
httpsdoiorg101109TBDATA20223190835,1035
httpsdoiorg101109TCE20243434971,1035
httpsdoiorg101109JIOT20243486005,1035
httpsdoiorg101109TWC20243401184,1035
httpsdoiorg101109TBDATA20223190835,1035
httpsdoiorg101109TDSC20243476533,1035
httpsdoiorg101109TPWRS20243404472,1163
httpsdoiorg101109TBDATA20243403380,1163
