DateID,PublicationDate,Day,Month,Year
0,01 July 2024,1,July,2024
1,9 January 2024,9,January,2024
2,16 November 2023,16,November,2023
3,05 November 2023,5,November,2023
4,6 March 2024,6,March,2024
5,20 July 2021,20,July,2021
6,15 July 2023,15,July,2023
7,13 August 2021,13,August,2021
8,02 November 2023,2,November,2023
9,8 May 2023,8,May,2023
10,28 November 2016,28,November,2016
11,27 October 2024,27,October,2024
12,8 October 2024,8,October,2024
13,15 April 2024,15,April,2024
14,10 August 2024,10,August,2024
15,25 November 2023,25,November,2023
16,29 May 2019,29,May,2019
17,24 October 2016,24,October,2016
18,09 August 2024,9,August,2024
19,21 December 2018,21,December,2018
20,14 October 2022,14,October,2022
21,9 October 2021,9,October,2021
22,07 October 2020,7,October,2020
23,15 March 2024,15,March,2024
24,28 January 2020,28,January,2020
25,02 October 2019,2,October,2019
26,31 October 2023,31,October,2023
27,29 June 2024,29,June,2024
28,12 July 2021,12,July,2021
29,27 January 2022,27,January,2022
30,03 June 2024,3,June,2024
31,12 August 2023,12,August,2023
32,27 December 2022,27,December,2022
33,06 December 2018,6,December,2018
34,12 November 2024,12,November,2024
35,05 December 2022,5,December,2022
36,28 February 2022,28,February,2022
37,25 June 2024,25,June,2024
38,14 June 2024,14,June,2024
39,11 July 2024,11,July,2024
40,01 January 2021,1,January,2021
41,06 May 2015,6,May,2015
42,22 June 2022,22,June,2022
43,19 September 2024,19,September,2024
44,24 May 2023,24,May,2023
45,6 March 2023,6,March,2023
46,12 August 2019,12,August,2019
47,03 December 2024,3,December,2024
48,10 March 2022,10,March,2022
49,09 July 2022,9,July,2022
50,8 July 2023,8,July,2023
51,20 April 2020,20,April,2020
52,01 January 2018,1,January,2018
53,05 June 2016,5,June,2016
54,10 April 2023,10,April,2023
55,07 May 2021,7,May,2021
56,30 June 2016,30,June,2016
57,19 September 2016,19,September,2016
58,21 August 2024,21,August,2024
59,02 April 2024,2,April,2024
60,15 October 2020,15,October,2020
61,20 July 2022,20,July,2022
62,14 November 2024,14,November,2024
63,3 December 2024,3,December,2024
64,16 June 2017,16,June,2017
65,25 May 2020,25,May,2020
66,29 May 2018,29,May,2018
67,22 September 2023,22,September,2023
68,8 February 2024,8,February,2024
69,2 March 2023,2,March,2023
70,18 September 2020,18,September,2020
71,29 August 2017,29,August,2017
72,02 October 2023,2,October,2023
73,4 August 2023,4,August,2023
74,20 January 2023,20,January,2023
75,20 February 2023,20,February,2023
76,14 October 2023,14,October,2023
77,07 January 2020,7,January,2020
78,11 May 2024,11,May,2024
79,15 November 2023,15,November,2023
80,19 July 2022,19,July,2022
81,04 November 2019,4,November,2019
82,28 April 2023,28,April,2023
83,01 April 2018,1,April,2018
84,04 December 2024,4,December,2024
85,29 March 2017,29,March,2017
86,4 August 2024,4,August,2024
87,23 January 2023,23,January,2023
88,01 October 2023,1,October,2023
89,2 February 2023,2,February,2023
90,6 November 2024,6,November,2024
91,28 July 2023,28,July,2023
92,18 August 2022,18,August,2022
93,16 October 2012,16,October,2012
94,13 November 2023,13,November,2023
95,1 February 2024,1,February,2024
96,17 August 2022,17,August,2022
97,01 October 2019,1,October,2019
98,02 January 2019,2,January,2019
99,09 November 2009,9,November,2009
100,8 April 2024,8,April,2024
101,7 March 2024,7,March,2024
102,20 March 2020,20,March,2020
103,11 August 2020,11,August,2020
104,01 April 2022,1,April,2022
105,21 August 2023,21,August,2023
106,7 July 2024,7,July,2024
107,28 December 2023,28,December,2023
108,03 September 2024,3,September,2024
109,13 November 2022,13,November,2022
110,30 May 2022,30,May,2022
111,11 October 2012,11,October,2012
112,27 March 2015,27,March,2015
113,27 February 2020,27,February,2020
114,17 September 2024,17,September,2024
115,19 March 2024,19,March,2024
116,12 October 2023,12,October,2023
117,09 April 2019,9,April,2019
118,05 October 2021,5,October,2021
119,29 October 2022,29,October,2022
