KeywordID,Keyword
0,Precoding
1,Uplink
2,Channel estimation
3,Wireless communication
4,Training
5,Reconfigurable intelligent surfaces
6,Symbols
7,Reinforcement learning
8,Optimization
9,Reflection coefficient
10,Pipelines
11,Feature extraction
12,Natural gas
13,Leak detection
14,Background noise
15,Acoustics
16,Training
17,Vectors
18,Fault diagnosis
19,Data models
20,Trajectory
21,Predictive models
22,Autonomous vehicles
23,Safety
24,Training
25,Data models
26,Roads
27,Predictive models
28,Mathematical models
29,Explainable AI
30,Accuracy
31,Forecasting
32,Electricity
33,Artificial intelligence
34,Trajectory
35,Formation control
36,Vehicle dynamics
37,Task analysis
38,Connected vehicles
39,Safety
40,Trajectory planning
41,Surveys
42,Monitoring
43,Temperature sensors
44,Artificial intelligence
45,Temperature measurement
46,Sensors
47,Productivity
48,Data models
49,Law
50,Training
51,Art
52,General Data Protection Regulation
53,Licenses
54,Training data
55,Software
56,Regulation
57,Information integrity
58,Medical services
59,Security
60,Privacy
61,Internet of Things
62,Artificial intelligence
63,Cloud computing
64,Particle swarm optimization
65,Sensors
66,Reliability
67,Surveys
68,Correlation
69,Big Data
70,Reviews
71,Australia
72,Artificial intelligence
73,Organizations
74,Cloud computing
75,Training
76,Social networking (online)
77,Product development
78,Machine learning
79,Data models
80,Computational modeling
81,Training
82,Servers
83,Privacy
84,Differential privacy
85,Security
86,Gold
87,Optical fiber sensors
88,Sensitivity
89,Metals
90,Electric fields
91,Biosensors
92,Nonhomogeneous media
93,Linearity
94,Fitting
95,Tunneling
96,Brain modeling
97,Noise reduction
98,Functional magnetic resonance imaging
99,Data models
100,Estimation
101,Transformers
102,Time series analysis
103,Feature extraction
104,Videos
105,Object detection
106,Artificial intelligence
107,Surveillance
108,Deep learning
109,Neurotransmitters
110,Fish
111,Cameras
112,Adaptation models
113,Microwave filters
114,Microwave theory and techniques
115,Microwave circuits
116,Optimization
117,Integrated circuit modeling
118,Circuits
119,Artificial intelligence
120,Magnetic resonance imaging
121,Image reconstruction
122,Electronics packaging
123,Decoding
124,Additives
125,Training
126,Sensitivity
127,Knowledge graphs
128,Artificial intelligence
129,Extrapolation
130,Cognition
131,Tensors
132,Task analysis
133,Predictive models
134,Valves
135,Servomotors
136,Disturbance observers
137,Stability analysis
138,Mechatronics
139,Uncertainty
140,Oils
141,Task analysis
142,Streaming media
143,Training
144,Image reconstruction
145,Memory management
146,Hospitals
147,Data models
148,Artificial Intelligence (AI)
149,AI voice assistant
150,Virtual assistant
151,UTAUT
152,Technology acceptance
153,Telecomunication
154,Atmospheric modeling
155,Data models
156,Computational modeling
157,Servers
158,Analytical models
159,Autonomous aerial vehicles
160,Cloud computing
161,Feature extraction
162,Visualization
163,Shape
164,Image color analysis
165,Accuracy
166,Deep learning
167,Computer vision
168,Skin
169,Faces
170,Estimation
171,Reflection
172,Monitoring
173,Color
174,Tracking
175,Adders
176,Optimization
177,Logic gates
178,Circuits
179,Logic
180,Integrated circuits
181,Formal verification
182,Blockchains
183,Artificial intelligence
184,Internet of Things
185,Surveys
186,Security
187,Reviews
188,Convergence
189,Urban areas
190,Medical services
191,Distributed ledger
192,Knowledge graphs
193,Computational complexity
194,Electronic learning
195,Processor scheduling
196,Learning (artificial intelligence)
197,Bibliographies
198,Terminology
199,Search problems
200,Polynomials
201,NP-hard problem
202,Privacy
203,Contracts
204,Blockchains
205,Data privacy
206,Decentralized applications
207,Protection
208,Access control
209,Electroencephalography
210,Depression
211,Brain modeling
212,Artificial intelligence
213,Feature extraction
214,Support vector machines
215,Classification algorithms
216,Bioinformatics
217,Artificial neural networks
218,Manuals
219,Neural radiance field
220,Uncertainty
221,Geometry
222,Surgery
223,Rendering (computer graphics)
224,Estimation
225,Three-dimensional displays
226,Image reconstruction
227,Endoscopes
228,Training
229,Tuning
230,Digital twins
231,Bayes methods
232,Control systems
233,Measurement
234,Cost function
235,Uncertainty
236,Autonomous vehicles
237,Vehicle dynamics
238,Adaptation models
239,Training
240,Aerodynamics
241,Heuristic algorithms
242,Servers
243,Observers
244,Observability
245,Data visualization
246,Phishing
247,Computer security
248,Electronic mail
249,Blocklists
250,Biological system modeling
251,Accuracy
252,Computational modeling
253,Autonomous vehicles
254,Meteorology
255,Synthetic data
256,Data mining
257,Semantic segmentation
258,Rain
259,Roads
260,Artificial intelligence
261,Annotations
262,Three-dimensional displays
263,Satellite images
264,Image resolution
265,Predictive models
266,Accuracy
267,Wireless communication
268,Training
269,Signal resolution
270,Transparent wood
271,AI-driven
272,Multiscale modeling
273,Functional material
274,Safe and sustainable by design
275,SSbD
276,Surveys
277,Tutorials
278,Resource management
279,Bandwidth
280,Virtualization
281,Computer architecture
282,Scalability
283,Banking
284,Support vector machines
285,Random forests
286,Radio frequency
287,Prediction algorithms
288,Machine learning algorithms
289,Artificial intelligence
290,Online banking
291,Machine learning
292,Security
293,Medical services
294,Next generation networking
295,Access control
296,Codes
297,Authentication
298,Blockchains
299,Trajectory
300,Logic gates
301,Telemedicine
302,Cognition
303,Artificial intelligence
304,Artificial neural networks
305,Surveys
306,Taxonomy
307,Knowledge graphs
308,Semantics
309,Security
310,Industrial Internet of Things
311,Resource management
312,Computer architecture
313,Dynamic scheduling
314,Network slicing
315,5G mobile communication
316,Service function chaining
317,Security management
318,Heuristic algorithms
319,Semantics
320,Unified modeling language
321,Feature extraction
322,Knowledge graphs
323,Medical services
324,Computational modeling
325,Vectors
326,Neurons
327,Computational modeling
328,Iterative methods
329,Predictive models
330,Perturbation methods
331,Closed box
332,Buildings
333,Training
334,Servers
335,Tensors
336,Bandwidth
337,Data centers
338,Computer architecture
339,Residual neural networks
340,Perturbation methods
341,Data models
342,Predictive models
343,Biomedical imaging
344,Decoding
345,Accuracy
346,Training
347,Power control
348,MIMO communication
349,Training
350,Power demand
351,Computer architecture
352,Computational complexity
353,Vectors
354,Codes
355,Detectors
356,Semantics
357,Training
358,Security
359,Rats
360,Feature extraction
361,Smart cities
362,5G mobile communication
363,Network slicing
364,Surveys
365,Video surveillance
366,Network function virtualization
367,Internet of Things
368,Kernel
369,Manifolds
370,Measurement
371,Symmetric matrices
372,Geometry
373,Electroencephalography
374,Tensors
375,Biomedical engineering
376,Dimensionality reduction
377,Covariance matrices
378,Field programmable gate arrays
379,Encoding
380,Neurons
381,Computer architecture
382,Real-time systems
383,Hardware
384,Synapses
385,Electrocardiography
386,Pediatrics
387,Sleep apnea
388,Databases
389,Recording
390,Convolutional neural networks
391,Explainable AI
392,Training
393,Medical diagnostic imaging
394,Indexes
395,Ultra reliable low latency communication
396,Resource management
397,Artificial intelligence
398,Array signal processing
399,Bandwidth
400,Heuristic algorithms
401,Optimization
402,Clustering algorithms
403,5G mobile communication
404,6G mobile communication
405,Satellites
406,6G mobile communication
407,Optimization
408,Reconfigurable intelligent surfaces
409,Low earth orbit satellites
410,Wireless networks
411,Reflection
412,Precoding
413,Earth
414,Receiving antennas
415,Surveys
416,Gradient methods
417,Computer vision
418,Human activity recognition
419,Feature extraction
420,Deep learning
421,Computational modeling
422,Task analysis
423,Knowledge graphs
424,Benchmark testing
425,Adaptation models
426,Standards
427,Predictive models
428,Planning
429,Electroencephalography
430,Manifolds
431,Feature extraction
432,Measurement
433,Prototypes
434,Incremental learning
435,Real-time systems
436,Principal component analysis
437,Brain modeling
438,Decoding
439,Security
440,Autonomous aerial vehicles
441,Privacy
442,Reviews
443,6G mobile communication
444,Data models
445,Cryptography
446,5G mobile communication
447,Drones
448,Mathematical models
449,Location awareness
450,Tutorials
451,Surveys
452,6G mobile communication
453,Global navigation satellite system
454,5G mobile communication
455,Satellite broadcasting
456,Receivers
457,Mixers
458,Low-pass filters
459,Circuits
